issue,title,url,category,shared_by
2025-10,Repeater / tower drone video shared by Jeff KO6JCA,https://m.youtube.com/watch?v=OgSiryf3f1w&feature=youtu.be,YouTube / Ham Radio,
2025-10,Ham2K Portable Logger review (Ham Ninja),http://www.hamninja.com/polo,Portable Ops / Logging,
2025-10,RF coverage mapping tool,https://www.ve2dbe.com/rmonline_s.asp,RF Tools,
2025-11,De-Googled $30 smartphone for portable operations,https://www.youtube.com/watch?v=LwL0YojiqJM&t=441s,Portable Ops / Tech,
2025-11,Mark KD7DTS reaches SOTA Goat status,https://w6sota.org/web/2025/11/05/mark-kd7dts-mg48/,SOTA,
2025-12,The Tech Prepper YouTube channel,https://www.youtube.com/@TheTechPrepper,YouTube / Preparedness,
2025-12,Red Summit RF YouTube channel,https://www.youtube.com/@RedSummitRF,YouTube / RF,
2026-01,Ham Radio Duo YouTube channel (CW learning resource),https://www.youtube.com/@HamRadioDuo,CW / Learning,
2026-01,N1CLC article on managing contact logs,https://www.n1clc.com/2022/05/how-i-manage-my-contact-logs.html,Logging,
2026-02,SES event video,https://www.youtube.com/watch?v=IzZEbvTB_8I,Event Video,
2026-02,APRS during a snow storm,https://www.youtube.com/watch?v=T1Lha7y8xtA,APRS,
2026-02,Portable antenna radial spool video,https://www.youtube.com/watch?v=dWxgT9b_Tbk,Portable Antennas,
2026-04,HamClock project update,https://www.youtube.com/watch?v=dwW-2iccWww,HamClock,
2026-04,Meshtastic vs MeshCore presentation from Yuma Hamfest,https://www.youtube.com/watch?v=SZALDblvLjI&t=3s,Mesh Networking,
2026-04,Ham Ninja SOTA expedition loadout blog,https://www.n1clc.com/2017/12/my-sota-expedition-loadout.html,SOTA / Portable Ops,
2026-05,Radio Myth Buster,https://m.youtube.com/@BustRadioMyths/videos,,
2026-05,Adam K6ARK,https://www.youtube.com/@K6ARK,,
2026-06,Ham Radio Documentary,https://www.youtube.com/watch?v=wt5wZhC5crI,,Dale
2026-06,Hamclock,https://drive.google.com/file/d/128PW9YHI9la2JHzFnpdtB8xYd-RTqSlL/view,,Claude
2026-06,Radio Jumps,https://www.youtube.com/watch?v=KAfHGTr6ga8,,Ed
